model,r1,r2,r3,r4,optimal
rosesW,0,0,2,5,100.000000
rosesW,0,0,0,0,100.000000
rosesW,2,2,2,2,52.664113
rosesW,2,2,2,2,52.999778
rosesW,1,1,1,1,37.425873
rosesW,1,2,2,2,48.534541
rosesW,2,2,2,2,43.099742
rosesW,1,1,1,1,34.683137
rosesW,1,1,1,1,48.248386
rosesW,0,0,0,0,44.479483
