model,r1,r2,r3,r4,optimal
monkeyW,0,1,3,4,100.000000
monkeyW,0,2,2,3,96.762025
monkeyW,1,2,2,3,95.580033
monkeyW,1,1,1,3,91.763791
monkeyW,0,0,0,0,72.978307
monkeyW,1,1,1,1,76.495021
monkeyW,0,0,0,1,71.939937
monkeyW,0,0,0,1,74.331935
monkeyW,0,0,0,1,75.213987
monkeyW,0,0,1,1,74.689660
