model,r1,r2,r3,r4,optimal
monkey,2,4,5,5,100.000000
monkey,5,5,5,5,32.749622
monkey,3,4,4,4,51.777557
monkey,3,3,4,4,56.749029
monkey,4,4,4,5,25.480769
monkey,4,4,5,5,38.093993
monkey,4,4,5,5,36.847577
monkey,4,4,4,5,31.833521
