model,r1,r2,r3,r4,optimal
teapot,0,1,4,5,100.000000
teapot,4,4,4,4,53.863429
teapot,3,4,4,4,57.548427
teapot,4,4,4,4,54.573158
teapot,5,5,5,5,60.020756
