model,r1,r2,r3,r4,optimal
monkey,1,2,3,4,100.000000
monkey,4,4,4,5,96.528073
monkey,2,3,3,5,98.071267
monkey,0,0,0,0,99.653448
monkey,1,3,3,3,98.381207
monkey,3,3,4,4,93.920843
monkey,3,4,4,5,92.777392
monkey,1,3,4,4,96.697369
monkey,1,2,4,5,96.266011
monkey,0,1,3,4,95.370423
