model,r1,r2,r3,r4,optimal
cow,1,2,2,4,100.000000
cow,2,2,2,3,53.470654
cow,2,2,2,3,54.358721
cow,3,3,3,4,56.979547
cow,3,3,3,4,55.807120
cow,2,2,2,3,52.517204
cow,2,2,2,3,54.764912
cow,2,3,3,4,57.318392
cow,3,3,4,5,61.708605
cow,3,3,4,5,62.881486
