model,r1,r2,r3,r4,optimal
teapotW,1,2,3,4,100.000000
teapotW,4,4,5,5,73.281099
teapotW,3,4,5,5,66.798382
teapotW,3,3,3,3,100.000000
teapotW,3,4,5,5,69.133229
teapotW,3,4,4,4,76.437368
teapotW,4,4,4,5,71.109664
teapotW,2,2,2,3,19.046443
teapotW,3,4,4,5,73.393130
teapotW,3,5,5,5,72.867182
