model,r1,r2,r3,r4,optimal
teapot,1,2,3,4,100.000000
teapot,3,3,3,3,33.262576
teapot,3,3,4,4,38.167799
teapot,4,4,4,4,31.178651
teapot,4,4,4,4,31.886637
