model,r1,r2,r3,r4,optimal
teapot,0,2,3,5,100.000000
teapot,2,3,4,4,56.134755
teapot,2,3,4,5,55.108003
teapot,1,3,4,5,55.793954
teapot,2,2,4,5,58.612143
teapot,2,4,4,5,62.494180
teapot,2,2,3,5,61.708933
teapot,2,2,4,5,66.673837
teapot,2,4,4,5,68.230023
teapot,3,4,5,5,62.248656
