model,r1,r2,r3,r4,optimal
monkeyW,2,2,3,4,100.000000
monkeyW,2,3,4,5,73.043193
monkeyW,1,2,3,3,67.316877
monkeyW,2,3,4,5,71.031865
monkeyW,3,3,4,5,76.939043
