reduce,ssim
0.010804695837780149,0.9959940433502197
0.021615083600142297,0.9956561088562011
0.03242404838135895,0.9968369245529175
0.043217360369975096,0.9985860347747803
0.05399786552828175,0.9984099507331848
0.06471718249733191,0.9969288587570191
0.07541800071149057,0.9957385778427124
0.08607755247242974,0.9954223871231079
0.09674279615795091,0.9972249627113342
0.10745072927783707,0.9931055665016174
0.11817431519032373,0.9875692963600159
0.12889790110281038,0.9828910589218139
0.13961437210956953,0.9784882664680481
0.15033368907861971,0.9749311327934265
0.16109427250088937,0.9716976761817933
0.17184204909284953,0.9687988758087158
0.18257132692991818,0.9666325330734253
0.19329775880469582,0.9647475361824036
0.20405122732123798,0.9630643486976623
0.21479188900747065,0.9617115139961243
0.2255410885805763,0.960564935207367
0.23630024902170046,0.9596952080726624
0.2470252579153326,0.9588653564453125
0.2577716115261473,0.9583606719970703
0.26851369619352544,0.9577611327171326
0.2792557808609036,0.9572785258293152
0.29001067235859124,0.9568259358406067
0.3007641408751334,0.9563775897026062
0.3115190323728211,0.9561472415924073
0.3222554251156172,0.9559447884559631
0.3330160085378869,0.9556622385978699
0.343769477054429,0.955322527885437
0.3545101387406617,0.9549493193626404
0.36526360725720386,0.9545288562774659
0.3760213447171825,0.9541582107543946
0.38675346851654213,0.9537097811698914
0.3975097829953753,0.9533410191535949
0.40826040554962645,0.9528156995773316
0.41899964425471364,0.9523591518402099
0.4297459978655283,0.9518667817115783
0.4404809676271789,0.95144282579422
0.4512415510494486,0.9510367274284363
0.46198363571682677,0.9505686402320862
0.4727086446104589,0.9501691818237304
0.48344788331554606,0.9498085141181946
0.49416577730345074,0.9493439316749572
0.5048651725364639,0.9487869024276734
0.5156001422981146,0.9483513355255127
0.5263208822483102,0.9479350328445435
0.5370473141230878,0.9473990321159362
0.547732479544646,0.946973466873169
0.5584261828530772,0.9464509010314941
0.5691099252934899,0.9460140228271484
0.5797737459978656,0.9455717325210571
0.5904304517965137,0.9451609253883362
0.6010601209533973,0.9449758768081665
0.611726787620064,0.9446023583412171
0.6223436499466382,0.9442860722541809
0.6329107079331199,0.9438771605491638
0.6435005336179296,0.9436334013938904
0.6540718605478477,0.9432183623313903
0.6646574172892209,0.9426819205284118
0.6752771255780861,0.9422508001327514
0.6858057630736393,0.94174724817276
0.6963984347207399,0.9410979270935058
0.7069498399146211,0.9402826309204102
0.7174784774101743,0.9394154191017151
0.7279815012451085,0.9386192560195923
0.7384560654571327,0.9377585530281067
0.7488794023479189,0.9369763731956482
0.7591817858413376,0.9362879395484924
0.7694870152970473,0.9354083180427551
0.77982924226254,0.9345128417015076
0.7900846673781572,0.9329639315605164
0.80025613660619,0.9301156044006348
0.8104204909284952,0.9289117813110351
0.8204140875133404,0.9278767347335816
0.8302981145499823,0.9274874567985535
0.8401465670579865,0.9266767024993896
0.8497588046958378,0.9254202723503113
0.8591832088224831,0.924080765247345
0.8684852365706155,0.9227140784263611
0.8776549270722163,0.9211478233337402
0.8865656350053361,0.9196596145629883
0.8952116684453931,0.9164344310760498
0.903704019921736,0.9144307017326355
0.9119473496976165,0.9085791110992432
0.919982924226254,0.9082916736602783
0.927749555318392,0.9107336163520813
0.9355418000711491,0.9108091354370117
0.9429099964425471,0.9108477592468261
0.9502184276058342,0.9100676059722901
0.9574016364283173,0.9083386659622192
0.9644738527214515,0.905381727218628
0.971521878335112,0.9032764673233032
0.9787307008182141,0.9055601596832276
0.9819594450373532,0.8726738929748535
0.9819594450373532,0.8726738929748535
0.9819594450373532,0.8726738929748535
